Path,Image,Class,Type,Solver,Tour Length,PAR10,Log PAR10,PQR10,Log PQR10
eax---lkh---sophisticated/1000-1.tsp,eax---lkh/1000-1-sophisticated.png,0,1,EAXrestart,19.7644,3.3818,1.2184,3.087,1.1272
eax---lkh---sophisticated/1000-1.tsp,eax---lkh/1000-1-sophisticated.png,0,1,LKHrestart,19.7644,358.1937,5.8811,272.3695,5.6072
eax---lkh---sophisticated/1000-10.tsp,eax---lkh/1000-10-sophisticated.png,0,1,EAXrestart,18.305,3.4272,1.2317,3.463,1.2421
eax---lkh---sophisticated/1000-10.tsp,eax---lkh/1000-10-sophisticated.png,0,1,LKHrestart,18.305,21.8275,3.0832,12.8845,2.556
eax---lkh---sophisticated/1000-100.tsp,eax---lkh/1000-100-sophisticated.png,0,1,EAXrestart,21.0411,3.4749,1.2456,3.104,1.1327
eax---lkh---sophisticated/1000-100.tsp,eax---lkh/1000-100-sophisticated.png,0,1,LKHrestart,21.0411,4852.7462,8.4873,1224.7585,7.1105
eax---lkh---sophisticated/1000-101.tsp,eax---lkh/1000-101-sophisticated.png,0,1,EAXrestart,20.0882,3.1878,1.1593,3.2305,1.1726
eax---lkh---sophisticated/1000-101.tsp,eax---lkh/1000-101-sophisticated.png,0,1,LKHrestart,20.0883,11539.0038,9.3535,1848.2625,7.522
eax---lkh---sophisticated/1000-102.tsp,eax---lkh/1000-102-sophisticated.png,0,1,EAXrestart,19.4008,3.1704,1.1539,3.1565,1.1495
eax---lkh---sophisticated/1000-102.tsp,eax---lkh/1000-102-sophisticated.png,0,1,LKHrestart,19.4008,942.6114,6.8487,836.113,6.7288
eax---lkh---sophisticated/1000-103.tsp,eax---lkh/1000-103-sophisticated.png,0,1,EAXrestart,19.9165,3.3638,1.2131,3.408,1.2261
eax---lkh---sophisticated/1000-103.tsp,eax---lkh/1000-103-sophisticated.png,0,1,LKHrestart,19.9168,25815.6602,10.1587,36000,10.4913
eax---lkh---sophisticated/1000-104.tsp,eax---lkh/1000-104-sophisticated.png,0,1,EAXrestart,20.3877,4.269,1.4514,3.366,1.2137
eax---lkh---sophisticated/1000-104.tsp,eax---lkh/1000-104-sophisticated.png,0,1,LKHrestart,20.3877,113.1364,4.7286,94.2745,4.5462
eax---lkh---sophisticated/1000-105.tsp,eax---lkh/1000-105-sophisticated.png,0,1,EAXrestart,22.8291,5.1606,1.6411,4.0925,1.4092
eax---lkh---sophisticated/1000-105.tsp,eax---lkh/1000-105-sophisticated.png,0,1,LKHrestart,22.8291,998.6961,6.9065,867.588,6.7657
eax---lkh---sophisticated/1000-106.tsp,eax---lkh/1000-106-sophisticated.png,0,1,EAXrestart,19.6302,3.5777,1.2747,3.5315,1.2617
eax---lkh---sophisticated/1000-106.tsp,eax---lkh/1000-106-sophisticated.png,0,1,LKHrestart,19.6303,15065.1523,9.6201,1770.334,7.4789
eax---lkh---sophisticated/1000-107.tsp,eax---lkh/1000-107-sophisticated.png,0,1,EAXrestart,21.0885,2.9685,1.0881,2.9995,1.0984
eax---lkh---sophisticated/1000-107.tsp,eax---lkh/1000-107-sophisticated.png,0,1,LKHrestart,21.0885,4838.1857,8.4843,1249.9005,7.1308
eax---lkh---sophisticated/1000-108.tsp,eax---lkh/1000-108-sophisticated.png,0,1,EAXrestart,20.2202,3.0812,1.1253,3.108,1.134
eax---lkh---sophisticated/1000-108.tsp,eax---lkh/1000-108-sophisticated.png,0,1,LKHrestart,20.2202,15773.1484,9.6661,3188.0695,8.0672
eax---lkh---sophisticated/1000-109.tsp,eax---lkh/1000-109-sophisticated.png,0,1,EAXrestart,18.2244,3.0778,1.1242,3.0735,1.1228
eax---lkh---sophisticated/1000-109.tsp,eax---lkh/1000-109-sophisticated.png,0,1,LKHrestart,18.2244,11.5738,2.4487,7.22,1.9769
eax---lkh---sophisticated/1000-11.tsp,eax---lkh/1000-11-sophisticated.png,0,1,EAXrestart,19.5469,3.0673,1.1208,3.126,1.1398
eax---lkh---sophisticated/1000-11.tsp,eax---lkh/1000-11-sophisticated.png,0,1,LKHrestart,19.5469,456.9942,6.1247,394.753,5.9783
eax---lkh---sophisticated/1000-110.tsp,eax---lkh/1000-110-sophisticated.png,0,1,EAXrestart,20.089,8.7557,2.1697,6.2435,1.8315
eax---lkh---sophisticated/1000-110.tsp,eax---lkh/1000-110-sophisticated.png,0,1,LKHrestart,20.089,429.7747,6.0633,288.9815,5.6664
